tweet,label,raw
@user @user hi there! we love what a huge fan of camila mendes you are! would it be alright if we used your tweet about her in our promotional material?,NOT,@USER @USER Hi there! We love what a huge fan of Camila Mendes you are! Would it be alright if we used your tweet about her in our promotional material?
@user fuck off,OFF,@USER Fuck off
@user certainly a weird view toward the margaret sanger geonicidal philosophy of aborting minorities.  i’d like to know if the black population that suffers the most shares her opinion,NOT,@USER Certainly a weird view toward the Margaret Sanger geonicidal philosophy of aborting minorities.  I’d like to know if the black population that suffers the most shares her opinion
"@user @user the prison system is so fucked.  why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane? they did this in louisiana and like 500 inmates went missing""""",OFF,"@USER @USER The prison system is so fucked.  Why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane? They did this in Louisiana and like 500 inmates went missing"""""
@user @user she is useless.  attempts to do the right thing but never follows through.,OFF,@USER @USER She is useless.  Attempts to do the right thing but never follows through.
walk away liberals......your party is poison. url,NOT,#WalkAway liberals......Your party is POISON. URL
@user grateful trump doesn’t have a dog in the white house. he is a cruel man.,OFF,@USER Grateful Trump doesn’t have a dog in the White House. He is a cruel man.
@user you are lying. stick with the facts. we pay more than that now.,NOT,@USER You are lying. Stick with the facts. We pay more than that now.
@user trump kicks dem butt - its so fun.,OFF,@USER Trump kicks dem butt - its so fun.
@user @user @user he is dumb and dumber all in one president.  it's a two for one.,OFF,@USER @USER @USER He is dumb and dumber all in one president.  It's a two for one.
toxic tory minister @user attempted to expense £50 charity donation! it's what  @user do!! @user tories must go dissolve the union  url,NOT,#Toxictory minister @USER attempted to expense £50 charity donation! It's what  @USER do!! @USER #Toriesmustgo #DissolveTheUnion  URL
@user ur so straight forword man ok hand  i saw u in dance dewwane and ur just talk free ky ap kitnay porrany ho industry mein and i really like ur this quality that u even gather with ur senior green heart  artist love for man mar ziya an  cowboy hat face  thumbs up ,NOT,@USER ur so straight forword man👌 i saw u in dance dewwane and ur just talk free ky ap kitnay porrany ho industry mein and i really like ur this quality that u even gather with ur senior💚 artist love for #Manmarziyaan 🤠👍
@user and this from the clown that should be in prison?,OFF,@USER And this from the clown that should be in prison?
@user @user @user @user did twitter silence alex jones in retaliation of him asking twitter jack questions  @user @user @user @user url,NOT,@USER @USER @USER @USER did Twitter silence alex jones in retaliation of him asking Twitter jack questions  @USER @USER @USER @USER URL
@user thats because you are an old man.,OFF,@USER Thats because you are an old man.
@user @user @user they are obstructionists. anti-american. pharisees. ask them what they are running on and you get nothing. maga!,OFF,@USER @USER @USER They are obstructionists. Anti-american. Pharisees. Ask them what they are running on and you get nothing. Maga!
"@user @user no you're not..you're here 2 represent the alinskyite orwellian leftist tool&amp;fool view on things..like 99.9% of the marxists&amp;antifa similar 2u..psst! and b4u use the words fascist or fascism again go ahead &amp; read d'souza's book the big lie""..right now u know squat about either..""",NOT,"@USER @USER No you're not..you're here 2 represent the Alinskyite Orwellian Leftist Tool&amp;Fool view on things..like 99.9% of the Marxists&amp;Antifa similar 2U..psst! And B4U use the words fascist or fascism again go ahead &amp; read D'Souza's book The Big Lie""..right now U know SQUAT about either.."""
"@user i do remember. :( but somehow centrist"" antifa-haters can never quite seem to bring themselves to condemn such things.""",NOT,"@USER I do remember. :( But somehow centrist"" antifa-haters can never quite seem to bring themselves to condemn such things."""
@user i mean it worked for gun control right? url,OFF,@USER I mean it worked for gun control right? URL
@user i think the last thing on the wh or trump's mind is april ryan. she needs to stop flattering herself. she's not as important as she thinks she is.,NOT,@USER I think the last thing on the WH or Trump's mind is April Ryan. She needs to stop flattering herself. She's not as important as she thinks she is.
@user principled conservatives are hypo crickets,NOT,@USER Principled conservatives are #Hypocrickets
@user @user @user @user @user @user @user @user @user @user @user @user @user don't forget @user &amp; democrat backed antifa,NOT,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Don't forget @USER &amp; Democrat backed #Antifa
@user she is a beautiful person to teach values to her kids. teaching them they are royalty but keep to keep it from going to their heads. stay real  red heart ,NOT,@USER She is a beautiful person to teach values to her kids. Teaching them they are royalty but keep to keep it from going to their heads. Stay real ❤️
@user bring out his antifa criminal son to campaign for him,NOT,@USER Bring out his Antifa criminal son to campaign for him
@user @user i didn’t watch and will not watch @user watching the september 11th stories and how we came together and stood shoulder to shoulder made me proud even with all of our issues yet the people playing a damn game cannot stand for this moment—protest on a saturday.,NOT,@USER @USER I didn’t watch and will not watch @USER Watching the September 11th stories and how we came together and stood shoulder to shoulder made me proud even with all of our issues yet the people playing a damn game cannot stand for this moment—protest on a Saturday.
a tear is made of 1% water and 99% feelings.,NOT,A tear is made of 1% water and 99% feelings.
"@user @user trump addresses gun control representing the nra.  i will not let you down"" he says. url",NOT,"@USER @USER Trump addresses gun control representing the NRA.  I will not let you down"" he says. URL"
@user she is drinking so much koolaid she’s bloated.,OFF,@USER She is drinking so much koolaid she’s bloated.
@user holder needs to be prosecuted,NOT,@USER Holder needs to be prosecuted
@user but... but... both players were women. and both were women of color!,NOT,@USER But... But... BOTH PLAYERS WERE WOMEN. And BOTH WERE WOMEN OF COLOR!
@user @user @user @user the institution only let her tweet when she behaves. she is a window licker!!!!,OFF,@USER @USER @USER @USER The Institution only let her tweet when she behaves. She is a Window Licker!!!!
*babysitting 3 kids*  people:”how old do you think she is?” “she has three kids”  me:*dont get mad. don’t get mad. they don’t know. they don’t know*,NOT,*babysitting 3 kids*  people:”how old do you think she is?” “she has three kids”  me:*dont get mad. don’t get mad. they don’t know. they don’t know*
@user well...? url,NOT,@USER well...? URL
wtc this is a threat!!! ..@user maga q a non wake up america url,OFF,WTC This is a threat!!! ..@USER #Maga #QAnon #WakeUpAmerica URL
"@user it's easily digestible content.   there's no need for nuance or to even understand the story.  they can show a picture of an antifa"" and get the base level emotional response their content requires in order to be profitable.""",NOT,"@USER It's easily digestible content.   There's no need for nuance or to even understand the story.  They can show a picture of an ANTIFA"" and get the base level emotional response their content requires in order to be profitable."""
@user @user try looking for plain old democrats.  the liberals are the ones which you can’t have a conversation with.,NOT,@USER @USER Try looking for plain old democrats.  The liberals are the ones which you can’t have a conversation with.
@user great news! old moonbeam just went into a coma!  face with tears of joy ,NOT,@USER Great news! Old moonbeam Just went into a coma! 😂
@user omg he is so extra ily,NOT,@USER OMG HE IS SO EXTRA ILY
@user @user @user please call trump out for what he is...a narcissistic sociopath!,OFF,@USER @USER @USER Please call trump out for what he is...a NARCISSISTIC SOCIOPATH!
@user @user unfortunately in america a system like that would be called racist. liberals believe exams are racist against minority groups.,NOT,@USER @USER Unfortunately in America a system like that would be called racist. Liberals believe exams are racist against minority groups.
@user i know! she is still alive....but wondering if her career was railroaded? odd! loved her...especially that day!,NOT,@USER I know! She is still alive....but wondering if her career was railroaded? Odd! Loved her...especially that day!
@user @user guy you are always present...bet why? lol,NOT,@USER @USER Guy you are always present...bet why? Lol
@user @user what a baby! url,NOT,@USER @USER what a baby! URL
@user you are very persuasive fam,NOT,@USER you are very persuasive fam
@user that's nothing new she was going to vote no anyway.....we will vote no to liberals in november.... url,NOT,@USER THAT'S NOTHING NEW SHE WAS GOING TO VOTE NO ANYWAY.....WE WILL VOTE NO TO LIBERALS IN NOVEMBER.... URL
@user burt. a cool dude.,NOT,@USER Burt. A cool dude.
maga! if you are all in for trump follow me and i will follow back.,NOT,#MAGA! IF YOU ARE ALL IN FOR #TRUMP FOLLOW ME AND I WILL FOLLOW BACK.
@user thank u!! i’m finally at the point where i’m okay with using heat on it again i’m so happy,NOT,@USER thank u!! i’m finally at the point where i’m okay with using heat on it again i’m so happy
@user kind of like what trump does all the time huh?,NOT,@USER Kind of like what trump does all the time huh?
@user because a former antifa in the white house and they do not arrest her and a citizen if they arrest someone explain to me.,NOT,@USER Because a former Antifa in the white house and they do not arrest her and a citizen if they arrest someone explain to me.
@user fuck em,OFF,@USER Fuck em
@user good move....he is the big loser,OFF,@USER Good move....he is the big loser
@user let's get to the bottom of this! dm me your zipcode and i'll check it out.  we have your back and we will make sure you are enjoying the best that tv has to offer asap! *nevinbruce,NOT,@USER Let's get to the bottom of this! DM me your zipcode and I'll check it out.  We have your back and we will make sure you are enjoying the BEST that TV has to offer ASAP! *NevinBruce
@user @user @user @user for the record i know doug jones personally and he is only a sen. bc we had no other credible choice. he won’t be at the next election.,NOT,@USER @USER @USER @USER For the record I know Doug Jones personally and he is only a Sen. Bc we had no other credible choice. He won’t be at the next election.
@user the president’s feelings are totally opposite of cnn’s feelings. so what does that say about cnn? they’re all liberals.,NOT,@USER The president’s feelings are totally opposite of CNN’s feelings. So what does that say about CNN? They’re all liberals.
"@user it's literally a narrative that is on par with nazis punch, antifa punch, they are two sides of the same coin."" noooooooo one of these groups wants to exterminate or deport all poc and jews, the other just wants to prevent them from doing that, and this comparison benefits fash""",OFF,"@USER it's literally a narrative that is on par with Nazis punch, antifa punch, they are two sides of the same coin."" noooOOoOo one of these groups wants to exterminate or deport all PoC and Jews, the other just wants to prevent them from doing that, and this comparison benefits fash"""
@user @user there are many dumb arguments for gun control but this may be the dumbest and most common.,OFF,@USER @USER There are many dumb arguments for gun control but this may be the dumbest and most common.
@user she is idk what's going on,NOT,@USER she is idk what's going on
@user @user yall need to chill he is having a really abysmal 2nd half. rizzo had an abysmal 1st half. its baseball it happens. does he have things he still needs to work on yes. has the power numbers dropped yes..... but he could bounce back at anytime. url,NOT,@USER @USER Yall need to chill he is having a really abysmal 2nd half. Rizzo had an abysmal 1st half. Its baseball it happens. Does he have things he still needs to work on yes. Has the power numbers dropped yes..... but he could bounce back at anytime. URL
@user dude you are old!!! lmao. ps: go pack go!!!,NOT,@USER Dude you are old!!! Lmao. PS: Go Pack Go!!!
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user that's why trump supporters can't even wear a hat without being abused. if they meet the animals on the left attack them. antifa is a branch of the communist-socialist-nazis democrat party.,NOT,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER That's why Trump supporters can't even wear a hat without being abused. If they meet the animals on the left attack them. Antifa is a branch of the Communist-Socialist-Nazis Democrat Party.
@user the laughs i’ve gotten from you are enough.  relieved face ,NOT,@USER The laughs I’ve gotten from you are enough. 😌
@user @user @user well?,NOT,@USER @USER @USER well?
@user @user @user first of all— they don’t even have pizza at panera,NOT,@USER @USER @USER First of all— they don’t even have pizza at Panera
@user @user @user please don't kill me. antifa on the other hand...,OFF,@USER @USER @USER please don't kill me. antifa on the other hand...
@user did you see shanahan say spoon was not 100% healthy this game? obviously no excuses if you’re out there but maybe it’s not the “all is doom” sort of thing it seemed during the game. maybe he is still pretty good.,NOT,@USER Did you see Shanahan say Spoon was not 100% healthy this game? Obviously no excuses if you’re out there BUT maybe it’s not the “all is doom” sort of thing it seemed during the game. Maybe he is still pretty good.
@user good girl @user,NOT,@USER Good girl @USER
@user @user she is an ugly black hearted troll url,OFF,@USER @USER She is an ugly black hearted troll URL
@user @user @user you are clearly not a pokemon master! i have almost 400 in rare candy alone. over 150 legacy moveset pokemon. it just all depends on what you like to keep as collection pieces and what you value in the game.,NOT,@USER @USER @USER You are clearly not a pokemon master! I have almost 400 in rare candy alone. Over 150 legacy moveset pokemon. It just all depends on what you like to keep as collection pieces and what you value in the game.
@user dont believe the hype.,OFF,@USER Dont believe the hype.
@user @user @user @user @user @user @user @user @user @user @user @user @user followed all new - maga.  please follow back.,NOT,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Followed all new - MAGA.  Please follow back.
protests reported in sunderland  except these are football fan and one flag says west brom on it?!  getting worse now even as i type?!  maga mega mb ga mcga conservatives patriots muslims far left leftists (doomed to lose but do not realises it) civil war soon? url,NOT,#Protests Reported in #Sunderland  Except these are #football fan and one #flag says #WestBrom on it?!  Getting worse now even as I type?!  #MAGA #MEGA #MBGA #MCGA #Conservatives #Patriots #Muslims #FarLeft #Leftists (doomed to lose but do not realises it) #CivilWar soon? URL
"@user liberals would still vote for him. they'll claim his comments were taken out of context and that he is still a man of integrity.""""",NOT,"@USER Liberals would still vote for him. They'll claim his comments were Taken out of context and that he is still a man of integrity."""""
@user @user we have been saved from you! maga!,OFF,@USER @USER We have been saved from you! MAGA!
@user you are bringing up honor and decency? with that yoyo in the picture? that's rich.,NOT,@USER You are bringing up honor and decency? With that yoyo in the picture? That's rich.
@user good riddance.,NOT,@USER Good riddance.
@user she is a goddess,NOT,@USER She is a goddess
"@user omg xd the worst (or the best, in my case is the best cuase it made me laught) part was her asking is he dead? does that hurts? poor thing..."" and the rest standin there like ""....nope he is no suffering"" ""so he is dead!"" ""...yeah, pretty dead""""",NOT,"@USER Omg xD The worst (or the best, in my case is the best cuase it made me laught) part was her asking is he dead? does that hurts? poor thing..."" and the rest standin there like ""....nope he is no suffering"" ""so he is dead!"" ""...yeah, pretty dead"""""
"@user you can probably imagine all the sjw snowflakes that don't feel safe"" working where there might be conservatives lurking in the shadows.  conservatives are now the ruskies of the 21st century.""",OFF,"@USER You can probably imagine all the SJW snowflakes that don't feel safe"" working where there might be conservatives lurking in the shadows.  Conservatives are now the Ruskies of the 21st century."""
@user @user i see may in the same light as yourself. even the last election was about her and not the conservatives.  a split is coming to the tory partyvery soon!,NOT,@USER @USER I see May in the same light as yourself. Even the last election was about her and not the Conservatives.  A split is coming to the Tory partyvery soon!
@user this all i get  crying face  damn these haters deleting you ig for no reason... url,OFF,@USER This all I get 😢 damn these haters deleting you IG for no reason... URL
@user do you think canadian liberals will actually blame trudeau if he costs them this? or as per standard push it off on us?,NOT,@USER Do you think Canadian liberals will actually blame Trudeau if he costs them this? Or as per standard push it off on us?
@user    you warned everyone about josh gordon the last 4 months on a daily basis.  i'm sure you are as shocked as i am of what transpired today.,NOT,@USER    You warned everyone about Josh Gordon the last 4 months on a daily basis.  I'm sure you are as shocked as I am of what transpired today.
@user @user @user why can't liberals read??????  read it again url,NOT,@USER @USER @USER Why can't liberals read??????  READ it AGAIN URL
@user sjshsj thats my job bitch,OFF,@USER SJSHSJ THATS MY JOB BITCH
@user do they discuss haiti?,NOT,@USER Do they discuss Haiti?
@user @user @user what part of no collusion don't you get??? this is why you are a dumocrat,OFF,@USER @USER @USER What part of NO COLLUSION don't you get??? This is why you are a dumocrat
@user he is very skilled face with tears of joy  face with tears of joy ,NOT,@USER He is very skilled😂😂
@user you are amazing  yellow heart  yellow heart  yellow heart ,NOT,@USER You are amazing 💛💛💛
@user fist pump was for the troops.,NOT,@USER Fist pump was for the troops.
"@user if the reason for farakans illegal values are because he is black or muslim, that would be a reason to detest him. i believe his illegal values are simply a result of bad character, like his supporters!""",OFF,"@USER if the reason for Farakans illegal values are because he is black or Muslim, that would be a reason to detest him. I believe his illegal values are simply a result of bad character, like his supporters!"""
@user let the leftist democrats riot in the streets with their antifa counterparts.,OFF,@USER Let the leftist democrats riot in the streets with their antifa counterparts.
@user i thought canada had strict gun control.  help me understand what is happening.,NOT,@USER I thought Canada had strict gun control.  Help me understand what is happening.
@user they don’t want you following people because they don’t like conservatives! sickening  how biased twitter’s management is. twitter left bias,NOT,@USER They don’t want you following people because they don’t like conservatives! Sickening  how biased Twitter’s management is. #TwitterLeftBias
@user he is doing life tho expressionless face ,NOT,@USER He is doing life tho😑
@user it's so very important between now and the midterms to get the word out that all the democrats want people of color to believe is they support them - which as you know is so false. how can the word spread even more to those who need to know? maga naacp,NOT,@USER It's SO VERY IMPORTANT between now and the midterms to get the word out that all the #democrats want people of color to believe is they support them - which as you know is SO false. How can the word spread even more to those who need to know? #MAGA #NAACP
@user @user antifa is not giving death threats to professor ford or threatening violence if their candidate loses or spanky is impeached.,OFF,@USER @USER ANTIFA is not giving death threats to professor Ford or threatening violence if their candidate loses or Spanky is impeached.
@user @user @user have you seen or listened to your antifa pals?,NOT,@USER @USER @USER Have you seen or listened to your ANTIFA pals?
